,Frequenta escola ou creche,Teve algum trabalho no período de referência de 365 dias,UF,ultimo nivel escolar
2218,4,3.0,11,11.0
2575,4,3.0,11,4.0
3391,4,3.0,11,12.0
3455,4,3.0,11,11.0
3597,4,3.0,11,4.0
8536,4,3.0,12,4.0
8537,4,3.0,12,4.0
9413,4,3.0,12,4.0
10025,4,3.0,12,11.0
10054,4,3.0,12,4.0
10721,4,3.0,12,4.0
11522,4,3.0,13,4.0
12926,4,3.0,13,4.0
16546,4,3.0,13,12.0
17759,4,3.0,13,12.0
18415,4,3.0,13,4.0
18432,4,3.0,13,13.0
18679,4,3.0,13,4.0
18727,4,3.0,13,13.0
19627,4,3.0,13,13.0
19732,4,3.0,13,13.0
19968,4,3.0,13,4.0
19969,4,3.0,13,4.0
22327,4,3.0,13,13.0
22577,4,3.0,13,4.0
26175,4,3.0,15,4.0
29102,4,3.0,15,13.0
29668,4,3.0,15,13.0
30020,4,3.0,15,4.0
30122,4,3.0,15,11.0
31216,4,3.0,15,4.0
31693,4,3.0,15,13.0
33079,4,3.0,15,13.0
34534,4,3.0,15,13.0
35074,4,3.0,15,13.0
35675,4,3.0,15,11.0
36057,4,3.0,15,11.0
37813,4,3.0,15,4.0
41541,4,3.0,15,4.0
42800,4,3.0,15,13.0
43666,4,3.0,15,4.0
44083,4,3.0,15,4.0
44238,4,3.0,15,11.0
46838,4,3.0,15,11.0
47854,4,3.0,15,4.0
47856,4,3.0,15,4.0
47867,4,3.0,15,4.0
47868,4,3.0,15,4.0
49424,4,3.0,16,4.0
49644,4,3.0,16,11.0
49662,4,3.0,16,13.0
50390,4,3.0,16,11.0
50875,4,3.0,16,4.0
53599,4,3.0,17,4.0
55442,4,3.0,17,11.0
58307,4,3.0,21,4.0
58818,4,3.0,21,11.0
64773,4,3.0,21,4.0
65877,4,3.0,21,13.0
66568,4,3.0,22,13.0
69166,4,3.0,22,13.0
72417,4,3.0,23,4.0
76328,4,3.0,23,4.0
76609,4,3.0,23,4.0
77870,4,3.0,23,11.0
78972,4,3.0,23,11.0
81460,4,3.0,23,13.0
81648,4,3.0,23,12.0
81674,4,3.0,23,13.0
81826,4,3.0,23,4.0
88349,4,3.0,23,11.0
94446,4,3.0,24,11.0
94447,4,3.0,24,11.0
97983,4,3.0,25,11.0
98242,4,3.0,25,13.0
98546,4,3.0,25,4.0
98776,4,3.0,25,4.0
100921,4,3.0,25,13.0
101179,4,3.0,26,12.0
101607,4,3.0,26,13.0
103788,4,3.0,26,12.0
104053,4,3.0,26,4.0
108547,4,3.0,26,12.0
109807,4,3.0,26,12.0
114052,4,3.0,26,11.0
116736,4,3.0,26,4.0
123097,4,3.0,27,4.0
123732,4,3.0,27,4.0
124391,4,3.0,27,13.0
124743,4,3.0,27,12.0
125005,4,3.0,27,13.0
125229,4,3.0,27,11.0
125406,4,3.0,27,13.0
125429,4,3.0,27,13.0
125673,4,3.0,27,4.0
126916,4,3.0,27,13.0
129964,4,3.0,28,4.0
131607,4,3.0,28,11.0
133279,4,3.0,28,11.0
134247,4,3.0,29,4.0
136507,4,3.0,29,13.0
136762,4,3.0,29,13.0
139834,4,3.0,29,4.0
140624,4,3.0,29,11.0
141127,4,3.0,29,11.0
141426,4,3.0,29,4.0
141583,4,3.0,29,4.0
141584,4,3.0,29,4.0
141623,4,3.0,29,4.0
141814,4,3.0,29,4.0
143848,4,3.0,29,12.0
144273,4,3.0,29,13.0
148093,4,3.0,29,4.0
149216,4,3.0,29,13.0
151351,4,3.0,29,13.0
155828,4,3.0,29,11.0
160845,4,3.0,31,13.0
162601,4,3.0,31,11.0
163041,4,3.0,31,11.0
166707,4,3.0,31,13.0
170734,4,3.0,31,13.0
171375,4,3.0,31,11.0
173218,4,3.0,31,11.0
176393,4,3.0,31,13.0
183230,4,3.0,31,11.0
185220,4,3.0,31,4.0
185221,4,3.0,31,13.0
187409,4,3.0,31,11.0
192333,4,3.0,31,4.0
194644,4,3.0,32,11.0
194811,4,3.0,32,11.0
195668,4,3.0,32,11.0
196539,4,3.0,32,11.0
198594,4,3.0,32,4.0
199481,4,3.0,33,13.0
200070,4,3.0,33,13.0
213409,4,3.0,33,4.0
213410,4,3.0,33,4.0
218384,4,3.0,33,13.0
219177,4,3.0,33,13.0
232301,4,3.0,35,11.0
238345,4,3.0,35,11.0
242316,4,3.0,35,11.0
244571,4,3.0,35,13.0
251948,4,3.0,35,11.0
254043,4,3.0,35,11.0
257476,4,3.0,35,11.0
273174,4,3.0,41,13.0
273930,4,3.0,41,11.0
273979,4,3.0,41,11.0
275141,4,3.0,41,4.0
278918,4,3.0,41,11.0
279602,4,3.0,41,4.0
279603,4,3.0,41,4.0
280593,4,3.0,41,11.0
281212,4,3.0,41,13.0
281778,4,3.0,41,4.0
282055,4,3.0,41,13.0
282073,4,3.0,41,13.0
290001,4,3.0,42,4.0
291591,4,3.0,42,11.0
293777,4,3.0,43,11.0
294055,4,3.0,43,11.0
298232,4,3.0,43,13.0
299163,4,3.0,43,13.0
300851,4,3.0,43,11.0
301450,4,3.0,43,11.0
302763,4,3.0,43,11.0
303356,4,3.0,43,13.0
304416,4,3.0,43,11.0
305357,4,3.0,43,11.0
