,Frequenta escola ou creche,Teve algum trabalho no período de referência de 365 dias,ultimo nivel escolar
1321,4,3.0,12.0
1711,4,3.0,13.0
2720,4,3.0,4.0
3021,4,3.0,4.0
3271,4,3.0,12.0
3485,4,3.0,11.0
4267,4,3.0,4.0
4281,4,3.0,11.0
4315,4,3.0,11.0
4621,4,3.0,11.0
5354,4,3.0,13.0
6326,4,3.0,11.0
9010,4,3.0,11.0
10438,4,3.0,4.0
11207,4,3.0,11.0
11379,4,3.0,11.0
14461,4,3.0,4.0
16269,4,3.0,4.0
17365,4,3.0,4.0
17376,4,3.0,13.0
17853,4,3.0,13.0
18161,4,3.0,12.0
18228,4,3.0,4.0
18265,4,3.0,12.0
19019,4,3.0,4.0
19082,4,3.0,13.0
20238,4,3.0,4.0
22624,4,3.0,13.0
22766,4,3.0,11.0
23459,4,3.0,12.0
23673,4,3.0,4.0
23674,4,3.0,4.0
23675,4,3.0,11.0
24286,4,3.0,11.0
24313,4,1.0,13.0
24369,4,3.0,4.0
24370,4,3.0,11.0
25697,4,3.0,11.0
25698,4,3.0,11.0
25711,4,3.0,12.0
26770,4,3.0,4.0
27558,4,3.0,4.0
32309,4,3.0,13.0
34166,4,3.0,11.0
36184,4,3.0,4.0
37260,4,3.0,12.0
37498,4,3.0,12.0
39357,4,3.0,11.0
41099,4,3.0,12.0
41381,4,3.0,4.0
41470,4,3.0,13.0
41714,4,3.0,13.0
44528,4,3.0,4.0
45639,4,3.0,13.0
46256,4,3.0,13.0
46305,4,3.0,13.0
46932,4,3.0,12.0
47387,4,3.0,4.0
50048,4,3.0,11.0
51438,4,3.0,4.0
51531,4,3.0,13.0
53701,4,3.0,11.0
55181,4,3.0,4.0
55626,4,3.0,13.0
57122,4,3.0,4.0
58950,4,3.0,12.0
60389,4,3.0,4.0
61424,4,3.0,13.0
61840,4,3.0,11.0
63348,4,3.0,13.0
64329,4,3.0,13.0
65602,4,3.0,4.0
66111,4,3.0,12.0
66357,4,3.0,13.0
69105,4,3.0,4.0
73956,4,3.0,13.0
78653,4,3.0,11.0
79438,4,3.0,13.0
79680,4,3.0,4.0
81546,4,3.0,4.0
83557,4,3.0,4.0
86547,4,3.0,13.0
86896,4,3.0,13.0
87028,4,3.0,4.0
89538,4,3.0,13.0
93759,4,3.0,4.0
94068,4,3.0,12.0
94183,4,3.0,12.0
94994,4,3.0,4.0
97269,4,3.0,11.0
97270,4,3.0,11.0
102275,4,3.0,12.0
103970,4,3.0,12.0
107394,4,3.0,4.0
110040,4,3.0,4.0
113823,4,3.0,11.0
114508,4,3.0,13.0
119005,4,3.0,11.0
123793,4,3.0,13.0
124363,4,3.0,4.0
124853,4,3.0,13.0
125503,4,3.0,13.0
125616,4,3.0,13.0
127377,4,3.0,4.0
127451,4,3.0,13.0
127665,4,3.0,11.0
127721,4,3.0,4.0
128033,4,3.0,12.0
128785,4,3.0,4.0
128786,4,3.0,11.0
129268,4,3.0,4.0
130253,4,3.0,4.0
130254,4,3.0,4.0
130255,4,3.0,13.0
130282,4,3.0,11.0
130977,4,3.0,13.0
131345,4,3.0,4.0
135590,4,3.0,4.0
135591,4,3.0,12.0
136505,4,3.0,11.0
